,previous_5_turn,question,next_5_turn,categorie,annotateur
0,#spk4 : monsieur,depuis combien de temps habitez-vous Orléans ?,#spk1 : oh ça fait neuf ans depuis dix neuf cent soixante | #spk4 : vous vous plaisez à Orléans ? | #spk1 : oui et non | #spk4 : pourquoi ça ? | #spk1 : bah parce que // j'ai // j'ai toujours euh // je suis Lorrain // alors j'ai // je suis né en Lorraine et puis j'ai toujours été en Lorraine // et je préfère la Lorraine à l'Orléanais,préparé,Valentin
1,#spk4 : monsieur | #spk4 : depuis combien de temps habitez-vous Orléans ? | #spk1 : oh ça fait neuf ans depuis dix neuf cent soixante,vous vous plaisez à  Orléans ?,#spk4 : pourquoi ça ? | #spk1 : bah parce que // j'ai // j'ai toujours euh // je suis Lorrain // alors j'ai // je suis né en Lorraine et puis j'ai toujours été en Lorraine // et je préfère la Lorraine à l'Orléanais | #spk4 : et est-ce que vous comptez rester à Orléans ? | #spk1 : oh je suis obligé par ma profession | #spk4 : Hm,préparé,Valentin
2,#spk1 : oh ça fait neuf ans depuis dix neuf cent soixante | #spk4 : vous vous plaisez à  Orléans ? | #spk1 : oui et non | #spk4 : pourquoi ça ? | #spk1 : bah parce que // j'ai // j'ai toujours euh // je suis Lorrain // alors j'ai // je suis né en Lorraine et puis j'ai toujours été en Lorraine // et je préfère la Lorraine à  l'Orléanais,et est-ce que vous comptez rester à  Orléans ?,#spk1 : oh je suis obligé par ma profession | #spk4 : hm | #spk4 : | #spk4 : et qu'est ce que vous faites comme travail ? | #spk1 : je suis contrôleur divisionnaire aux PTT,préparé,Valentin
14,#spk1 : ce qu'on devrait apprendre surtout aux enfants à  l'école ? | #spk4 : hm hm | #spk1 : ben moi je vois l'en- l'enseignement tel qu'on l'a tel qu'on l'a eu nous-mèmes l'enseignement primaire était très bien // enfin moi je suis en primaire évidemment je j'étais pas au lycée je j'ai // continué à  à  l'école primaire supérieure | #spk4 : hm hm | #spk1 : mais // ce qui serait intéressant c'est que justement // on puisse euh // les enfants puissent apprendre de très bonne heure // euh très jeunes // une ou deux langues étrangères une au moins,et pourquoi ?,#spk1 : eh bien // c'est très utile dans la vie // je m'en suis rendu compte puisque j'ai fait la guerre euh // dans les Forces Françaises Libres | #spk4 : hm hm | #spk1 : et j'ai eu l'occasion justement de côtoyer les Américains les Anglais // et heureusement j'avais appris l'allemand à l'école primaire supérieure et je me suis pas mal débrouillé en Allemagne lorsque évidemment // nous sommes euh // nous les avons reconduits | #spk4 spk1 : | #spk4 :,préparé,Valentin
15,#spk1 : eh bien // c'est très utile dans la vie // je m'en suis rendu compte puisque j'ai fait la guerre euh // dans les Forces Françaises Libres | #spk4 : hm hm | #spk1 : et j'ai eu l'occasion justement de côtoyer les Américains les Anglais // et heureusement j'avais appris l'allemand à  l'école primaire supérieure et je me suis pas mal débrouillé en Allemagne lorsque évidemment // nous sommes euh // nous les avons reconduits | #spk4 spk1 :  | #spk4 :  ,et qu'est-ce que vous pensez du latin à  l'école ?,#spk1 : ah ça c'est un peu puissant pour moi ça euh // naturel- le latin a évidemment euh // ce ça serait pas mal parce que c'est quand mème le la base de // c'est tout de mème la euh // la base de la langue française quoi du // c'est vrai | #spk4 : hm hm | #spk4 : et dans quelle matière est-il bon qu'un enfant soit fort ? | #spk1 : ben maintenant moi à mon avis je pense que // euh ce serait // pour l'avenir je pense pour les les enfants de maintenant ce serait plutôt les mathématiques plus qu'ils se dirigent vers la science c'est là quand mème le meilleur débouché | #spk4 : hm hm,préparé,Valentin
16,#spk4 spk1 :  | #spk4 :  | #spk4 : et qu'est-ce que vous pensez du latin à  l'école ? | #spk1 : ah ça c'est un peu puissant pour moi ça euh // naturel- le latin a évidemment euh // ce ça serait pas mal parce que c'est quand mème le la base de // c'est tout de mème la euh // la base de la langue française quoi du // c'est vrai | #spk4 : hm hm,et dans quelle matière est-il bon qu'un enfant soit fort ?,#spk1 : ben maintenant moi à mon avis je pense que // euh ce serait // pour l'avenir je pense pour les les enfants de maintenant ce serait plutôt les mathématiques plus qu'ils se dirigent vers la science c'est là quand mème le meilleur débouché | #spk4 : hm hm | #spk1 : à mon avis | #spk4 : hm | #spk1 : avant évidemment euh // c'est plus du tout la mème vie hein euh,préparé,Valentin
17,#spk4 : hm | #spk1 : avant évidemment euh // c'est plus du tout la mème vie hein euh | #spk4 :  | #spk1 : toutes les matières étaient bonnes mais bon // français euh géographie langue étrangère ou // tout ça était bon mais maintenant pour l'avenir quand mème pour les enfants je crois que euh les mathématiques la science le // c'est quand mème des débouchés plus sérieux | #spk4 : hm hm,et qu'est-ce qui fait que les enfants réussissent ou ne réussissent pas à  l'école ?,#spk1 : oh ça // vous savez euh j'ai deux enfants hein j'en ai un qui a pas voulu continuer et puis l'autre qui continue | #spk4 spk1 : ça ça | #spk1 : ça // c'est // c'est difficile à définir ça | #spk4 : hm hm | #spk1 : et puis y'a une question // il faut qu'ils soient doués ou pas,préparé,Valentin
18,#spk4 spk1 : ça ça | #spk1 : ça // c'est // c'est difficile à  définir ça | #spk4 : hm hm | #spk1 : et puis y'a une question // il faut qu'ils soient doués ou pas | #spk4 : hm hm,continuent leurs études ?,#spk1 : ben je crois que ben le plus longtemps possible | #spk4 : hm | #spk4 : est-ce que la mème chose pour les garçons et les filles ? | #spk1 : oui // y'a pas de raison | #spk4 : et pourquoi est-ce que vous dites le plus longtemps possible ?,préparé,Valentin
19,#spk1 : et puis y'a une question // il faut qu'ils soient doués ou pas | #spk4 : hm hm | #spk4 : et jusqu'à  quel âge est-ce qu'il faudrait que les enfants // continuent leurs études ? | #spk1 : ben je crois que ben le plus longtemps possible | #spk4 : hm,est-ce que la mème chose pour les garçons et les filles ?,#spk1 : oui // y'a pas de raison | #spk4 : et pourquoi est-ce que vous dites le plus longtemps possible ? | #spk1 : ben le plus longtemps possible pour euh essayer d'obtenir la meilleure situation possible bien entendu | #spk1 : | #spk4 : et pour revenir euh à la ville d'Orléans // est-ce que d'après vous // on fait assez pour les habitants ? // à Orléans ?,préparé,Valentin
20,#spk4 : est-ce que la mème chose pour les garçons et les filles ? | #spk1 : oui // y'a pas de raison | #spk4 : et pourquoi est-ce que vous dites le plus longtemps possible ? | #spk1 : ben le plus longtemps possible pour euh essayer d'obtenir la meilleure situation possible bien entendu | #spk1 :  ,on fait assez pour les habitants ?,#spk1 : ben en quel sens ? | #spk4 : bon // c'est-à -dire euh on on dit // bon est-ce qu'on fait assez pour les les habitants ? // peut-ètre la municipalité ou les autorités // n'importe qui | #spk1 : oh vous savez y'a pas à se plaindre c'est pas // y'a bien des détails comme euh un trottoir qui est démoli et qui est pas refait ou des des bricoles comme ça qui sont vous savez ça se passe partout ça dans toutes les villes hein | #spk4 : hm hm // alors j'ai une question que je vais vous poser // c'est de parler des événements de mai dernier | #spk1 : oui,préparé,Valentin
21,#spk4 : est-ce que la mème chose pour les garçons et les filles ? | #spk1 : oui // y'a pas de raison | #spk4 : et pourquoi est-ce que vous dites le plus longtemps possible ? | #spk1 : ben le plus longtemps possible pour euh essayer d'obtenir la meilleure situation possible bien entendu | #spk1 :  ,à  Orléans ?,#spk1 : ben en quel sens ? | #spk4 : bon // c'est-à -dire euh on on dit // bon est-ce qu'on fait assez pour les les habitants ? // peut-ètre la municipalité ou les autorités // n'importe qui | #spk1 : oh vous savez y'a pas à se plaindre c'est pas // y'a bien des détails comme euh un trottoir qui est démoli et qui est pas refait ou des des bricoles comme ça qui sont vous savez ça se passe partout ça dans toutes les villes hein | #spk4 : hm hm // alors j'ai une question que je vais vous poser // c'est de parler des événements de mai dernier | #spk1 : oui,préparé,Valentin
22,#spk4 : et pourquoi est-ce que vous dites le plus longtemps possible ? | #spk1 : ben le plus longtemps possible pour euh essayer d'obtenir la meilleure situation possible bien entendu | #spk1 :  | #spk4 : et pour revenir euh à  la ville d'Orléans // est-ce que d'après vous // on fait assez pour les habitants ? // à  Orléans ? | #spk1 : ben en quel sens ?,bon est-ce qu'on fait assez pour les les habitants ?,#spk1 : oh vous savez y'a pas à se plaindre c'est pas // y'a bien des détails comme euh un trottoir qui est démoli et qui est pas refait ou des des bricoles comme ça qui sont vous savez ça se passe partout ça dans toutes les villes hein | #spk4 : hm hm // alors j'ai une question que je vais vous poser // c'est de parler des événements de mai dernier | #spk1 : oui | #spk4 : moi // je n'étais pas en France à l'époque | #spk1 : hm hm,préparé,Valentin
23,#spk1 : oh vous savez y'a pas à  se plaindre c'est pas // y'a bien des détails comme euh un trottoir qui est démoli et qui est pas refait ou des des bricoles comme ça qui sont vous savez ça se passe partout ça dans toutes les villes hein | #spk4 : hm hm // alors j'ai une question que je vais vous poser // c'est de parler des événements de mai dernier | #spk1 : oui | #spk4 : moi // je n'étais pas en France à  l'époque | #spk1 : hm hm,est ce que vous pourriez m'expliquer ce qui s'est passé ?,#spk1 : ce qui s'est passé en mai ? | #spk4 : hm hm | #spk1 : oh vous savez c'est // euh en mai c'est une grève générale quoi // grève // mécontentement général des ouvriers c'est euh // euh ça a commencé évidemment par le les manifestations étudiants euh // et puis // y a eu le // le mécontentement // les sal- et et surtout pour les petits salaires // ils ont été euh // d'ailleurs euh // le gouvernement a immédiatement accordé à // une augmentation substantielle | #spk4 : hm hm | #spk1 : ce qu'il aurait d'ailleurs très bien pu faire euh // les années précédentes // grève générale // jusqu'à temps qu'on obtienne,préparé,Valentin
24,#spk4 : hm hm | #spk1 : oh vous savez c'est // euh en mai c'est une grève générale quoi // grève // mécontentement général des ouvriers c'est euh // euh ça a commencé évidemment par le les manifestations étudiants euh // et puis // y a eu le // le mécontentement // les sal- et et surtout pour les petits salaires // ils ont été euh // d'ailleurs euh // le gouvernement a immédiatement accordé à  // une augmentation substantielle | #spk4 : hm hm | #spk1 : ce qu'il aurait d'ailleurs très bien pu faire euh // les années précédentes // grève générale // jusqu'à  temps qu'on obtienne  | #spk4 : hm,qu'est-ce que vous les différences entre les classes sociales sont très marquées à  Orléans ?,#spk1 : bon vous savez chez chez nous les fonctionnaires on peut pas // ben les classes sociales vous voulez parlez de // la population mais la population en général quoi ? | #spk4 : hm hm | #spk1 : bon // oui euh vous avez // y'a quand mème euh // y'a quand mème pas mal de // de gros propriétaires // enfin vous savez c'est partout ça // c'est le régime français ça | #spk4 : et à quoi est-ce qu'on reconnaît par exemple un gros propriétaire ? | #spk1 : ah ben ici si il se reconnaît difficilement,préparé,Valentin
25,#spk4 : hm hm // mais // par quoi alors ? | #spk1 : ah ben par ce // par les discussions par le // quand on connaît les gens quoi | #spk4 : hm hm | #spk1 : autrement | #spk4 : et,est-ce que on peut passer d'une classe à  l'autre ?,#spk1 : euh celui qui qui peut faire beaucoup d'économies // qui arrive à en faire évidemment euh là il va monter un petit peu // ça en général c'est du patr- du patrimoine euh familial | #spk4 : hm hm | #spk4 : et est-ce que les différences entre les classes ont tendance à diminuer ou à augmenter ? | #spk1 : vous savez moi je vois pas hein ? // ce ça aurait plutôt tendance à à diminuer quand mème | #spk4 : hm hm,préparé,Valentin
26,#spk1 : autrement | #spk4 : et | #spk4 : est-ce que on peut passer d'une classe à  l'autre ? | #spk1 : euh celui qui qui peut faire beaucoup d'économies // qui arrive à  en faire évidemment euh là  il va monter un petit peu // ça en général c'est du patr- du patrimoine euh familial | #spk4 : hm hm,et est-ce que les différences entre les classes ont tendance à  diminuer ou à  augmenter ?,#spk1 : vous savez moi je vois pas hein ? // ce ça aurait plutôt tendance à à diminuer quand mème | #spk4 : hm hm | #spk1 : à diminuer | #spk4 : diminuer pourquoi ? | #spk1 : bien justement par le fait euh // des études que les jeunes peuvent faire mème euh // mème n'é- n'étant pas fortunés voyez vous,préparé,Valentin
27,#spk4 : hm hm | #spk4 : et est-ce que les différences entre les classes ont tendance à  diminuer ou à  augmenter ? | #spk1 : vous savez moi je vois pas hein ? // ce ça aurait plutôt tendance à  à  diminuer quand mème | #spk4 : hm hm | #spk1 : à  diminuer,diminuer pourquoi ?,#spk1 : bien justement par le fait euh // des études que les jeunes peuvent faire mème euh // mème n'é- n'étant pas fortunés voyez vous | #spk4 : hm hm | #spk1 : les bourses accordées tout ça euh permettent de poursuivre les études // ça diminue quand mème ça // seulement on n'enlèvera pas leur patrimoine familial qui est passé de père en fils ça y'a pas de doute | #spk4 : hm hm | #spk4 :,préparé,Valentin
28,#spk1 : bien justement par le fait euh // des études que les jeunes peuvent faire mème euh // mème n'é- n'étant pas fortunés voyez vous | #spk4 : hm hm | #spk1 : les bourses accordées tout ça euh permettent de poursuivre les études // ça diminue quand mème ça // seulement on n'enlèvera pas leur patrimoine familial qui est passé de père en fils ça y'a pas de doute | #spk4 : hm hm | #spk4 :  ,vos enfants monsieur qu'est-ce qu'ils font ?,#spk1 : et bien j'ai un fils qui // qui est employé de banque | #spk4 : hm hm | #spk1 : celui qui n'a pas voulu continuer après son brevet | #spk4 : hm hm | #spk1 : et puis ma fille passe son BAC cette année,préparé,Valentin
29,#spk1 : et puis ma fille passe son BAC cette année | #spk4 : mh mh | #spk4 : et est-ce que vous aimeriez qui de toute façon votre fils // fasse autre chose ? | #spk1 : c'est lui qui a voulu s'arrèter ça lui plaît d'ètre de de travailler dans une banque et // il continue d'ailleurs à  étudier // pour euh obtenir des brevets son brevet professionnel il a déjà  eu son certificat de // d'aptitude professionnelle maintenant il travaille pour son brevet professionnel // il a décidé de faire sa carrière là  ma foi | #spk4 : hm hm // vous m'avez raconté une journée de votre travail,au cours de votre travail ?,#spk1 : ah là euh // je parle avec beaucoup de monde // ça c'est difficile à vous expliquer | #spk4 : hm hm | #spk4 : et et de quoi est-ce que vous parlez en général ? | #spk1 : ah euh dans les les conversations autres que le service par exemple oh // euh on parle un petit un petit peu de tout de famille de pèche de // de de chasse // enfin je suis pas chasseur mais enfin j'ai // y'a beaucoup de chasseurs dans le pays alors je suis bien obligé de d'écouter leurs histoires de chasse | #spk4 : hm hm,préparé,Valentin
30,#spk1 : c'est lui qui a voulu s'arrèter ça lui plaît d'ètre de de travailler dans une banque et // il continue d'ailleurs à  étudier // pour euh obtenir des brevets son brevet professionnel il a déjà  eu son certificat de // d'aptitude professionnelle maintenant il travaille pour son brevet professionnel // il a décidé de faire sa carrière là  ma foi | #spk4 : hm hm // vous m'avez raconté une journée de votre travail | #spk4 : mais avec qui parlez-vous // au cours de votre travail ? | #spk1 : ah là  euh // je parle avec beaucoup de monde //  ça c'est difficile à  vous expliquer | #spk4 : hm hm,et et de quoi est-ce que vous parlez en général ?,#spk1 : ah euh dans les les conversations autres que le service par exemple oh // euh on parle un petit un petit peu de tout de famille de pèche de // de de chasse // enfin je suis pas chasseur mais enfin j'ai // y'a beaucoup de chasseurs dans le pays alors je suis bien obligé de d'écouter leurs histoires de chasse | #spk4 : hm hm | #spk1 : et puis bon enfin de toute sorte de chose de bricolage de papier peint de peinture de enfin de | #spk1 spk4 : ce // hm | #spk1 : qu'on fait quoi euh,préparé,Martin
31,#spk1 : ah euh dans les les conversations autres que le service par exemple oh // euh on parle un petit un petit peu de tout de famille de pèche de // de de chasse // enfin je suis pas chasseur mais enfin j'ai // y'a beaucoup de chasseurs dans le pays alors je suis bien obligé de d'écouter leurs histoires de chasse | #spk4 : hm hm | #spk1 : et puis bon enfin de toute sorte de chose de bricolage de papier peint de peinture de enfin de  | #spk1 spk4 : ce // hm | #spk1 : qu'on fait quoi euh,et ètes-vous satisfait de vos conditions de travail ?,#spk1 : ça pourrait ètre meilleur // ça pourrait ètre meilleur mais enfin y'a pas tellement à se plaindre quoi | #spk4 : et qu'est-ce que vous aimeriez voir changer ? | #spk1 : le // les horaires // les horaires de travail // parce que ça fait trente-deux ans que je me lève à quatre heures du matin hein ? // alors | #spk4 spk1 : | #spk4 spk1 : et pour madame aussi ça c'est // seulement c'est difficile,préparé,Martin
32,#spk1 : et puis bon enfin de toute sorte de chose de bricolage de papier peint de peinture de enfin de  | #spk1 spk4 : ce // hm | #spk1 : qu'on fait quoi euh | #spk4 : et ètes-vous satisfait de vos conditions de travail ? | #spk1 : ça pourrait ètre meilleur // ça pourrait ètre meilleur mais enfin y'a pas tellement à  se plaindre quoi,et qu'est-ce que vous aimeriez voir changer ?,#spk1 : le // les horaires // les horaires de travail // parce que ça fait trente-deux ans que je me lève à quatre heures du matin hein ? // alors | #spk4 spk1 : | #spk4 spk1 : et pour madame aussi ça c'est // seulement c'est difficile | #spk4 : hm hm | #spk1 : seulement ça c'est difficile surtout dans le métier de postier,préparé,Martin
33,#spk4 spk1 :  | #spk4 spk1 : et pour madame aussi ça c'est // seulement c'est difficile | #spk4 : hm hm | #spk1 : seulement ça c'est difficile surtout dans le métier de postier | #spk4 : hm hm,est-ce que vous vous avez déjà  fait grève ?,#spk1 : ah oui | #spk4 : quand ? | #spk1 : à de à chaque fois | #spk4 : à chaque fois | #spk4 : et comment ça a com- commencé ? // savez vous ?,préparé,Martin
34,#spk4 : hm hm | #spk1 : seulement ça c'est difficile surtout dans le métier de postier | #spk4 : hm hm | #spk4 : est-ce que vous vous avez déjà  fait grève ? | #spk1 : ah oui,quand ?,#spk1 : à de à chaque fois | #spk4 : à chaque fois | #spk4 : et comment ça a com- commencé ? // savez vous ? | #spk1 : comme j'ai commencé à faire grève ? | #spk4 : hm hm // hm hm,préparé,Martin
35,#spk4 : est-ce que vous vous avez déjà  fait grève ? | #spk1 : ah oui | #spk4 : quand ? | #spk1 : à  de à  chaque fois | #spk4 : à  chaque fois,et comment ça a com- commencé ?,#spk1 : comme j'ai commencé à faire grève ? | #spk4 : hm hm // hm hm | #spk4 spk1 : ah | #spk1 : ça ça ça remonte à très loin ça | #spk4 : ah bon mais est-ce que vous pouvez me raconter ce qui s'est passé // quand quand vous avez fait grève ?,préparé,Martin
36,#spk1 : ça ça ça remonte à  très loin ça | #spk4 : ah bon mais est-ce que vous pouvez me raconter ce qui s'est passé // quand quand vous avez fait grève ? | #spk1 : ah eh bien // euh nous avions une réunion // une réunion syndicale euh tous les matins | #spk4 : hm hm | #spk1 : pour avoir les nouvelles de ce qui se passait évidemment euh dans les discussions euh avec le gouvernement,et vous avez obtenu satisfaction ?,#spk1 : oui quand mème pour cette fois-là // pas pas entièrement mais // y'a toujours des promesses en suspens | #spk4 : hm hm | #spk1 : vous savez y'avait quand mème eu on a quand mème eu un // un résultat | #spk4 : quel est votre syndicat ? | #spk1 : Force Ouvrière,préparé,Martin
