,previous_5_turn,question,next_5_turn,categorie,annotateur
10,#spk4 : hm hm // alors j'ai une question que je vais vous poser // c'est de parler des événements de mai dernier | #spk1 : oui | #spk4 : moi // je n'étais pas en France à  l'époque | #spk1 : hm hm | #spk4 : est ce que vous pourriez m'expliquer ce qui s'est passé ?,ce qui s'est passé en mai ?,#spk4 : hm hm | #spk1 : oh vous savez c'est // euh en mai c'est une grève générale quoi // grève // mécontentement général des ouvriers c'est euh // euh ça a commencé évidemment par le les manifestations étudiants euh // et puis // y a eu le // le mécontentement // les sal- et et surtout pour les petits salaires // ils ont été euh // d'ailleurs euh // le gouvernement a immédiatement accordé à // une augmentation substantielle | #spk4 : hm hm | #spk1 : ce qu'il aurait d'ailleurs très bien pu faire euh // les années précédentes // grève générale // jusqu'à temps qu'on obtienne | #spk4 : hm,spontané,Valentin
11,#spk1 : oh vous savez c'est // euh en mai c'est une grève générale quoi // grève // mécontentement général des ouvriers c'est euh // euh ça a commencé évidemment par le les manifestations étudiants euh // et puis // y a eu le // le mécontentement // les sal- et et surtout pour les petits salaires // ils ont été euh // d'ailleurs euh // le gouvernement a immédiatement accordé à  // une augmentation substantielle | #spk4 : hm hm | #spk1 : ce qu'il aurait d'ailleurs très bien pu faire euh // les années précédentes // grève générale // jusqu'à  temps qu'on obtienne  | #spk4 : hm | #spk4 : qu'est-ce que vous les différences entre les classes sociales sont très marquées à  Orléans ?,la population mais la population en général quoi ?,#spk4 : hm hm | #spk1 : bon // oui euh vous avez // y'a quand mème euh // y'a quand mème pas mal de // de gros propriétaires // enfin vous savez c'est partout ça // c'est le régime français ça | #spk4 : et à quoi est-ce qu'on reconnaît par exemple un gros propriétaire ? | #spk1 : ah ben ici si il se reconnaît difficilement | #spk1 spk4 :,spontané,Valentin
12,#spk4 : hm | #spk4 : qu'est-ce que vous les différences entre les classes sociales sont très marquées à  Orléans ? | #spk1 : bon vous savez chez chez nous les fonctionnaires on peut pas // ben les classes sociales vous voulez parlez de // la population mais la population en général quoi ? | #spk4 : hm hm | #spk1 : bon // oui euh vous avez // y'a quand mème euh // y'a quand mème pas mal de // de gros propriétaires //  enfin vous savez c'est partout ça // c'est le régime français ça,et à  quoi est-ce qu'on reconnaît par exemple un gros propriétaire ?,#spk1 : ah ben ici si il se reconnaît difficilement | #spk1 spk4 : | #spk4 spk1 : mais c'est quoi c'est // c'est pas celui | #spk1 : qui est bien habillé | #spk4 spk1 : en général,spontané,Valentin
13,#spk1 : ah ben ici si il se reconnaît difficilement | #spk1 spk4 :  | #spk4 spk1 : mais c'est quoi c'est // c'est pas celui | #spk1 : qui est bien habillé | #spk4 spk1 : en général,par quoi alors ?,#spk1 : ah ben par ce // par les discussions par le // quand on connaît les gens quoi | #spk4 : hm hm | #spk1 : autrement | #spk4 : et | #spk4 : est-ce que on peut passer d'une classe à l'autre ?,spontané,Valentin
14,#spk4 : hm hm | #spk1 : celui qui n'a pas voulu continuer après son brevet | #spk4 : hm hm | #spk1 : et puis ma fille passe son BAC cette année | #spk4 : mh mh,fasse autre chose ?,#spk1 : c'est lui qui a voulu s'arrèter ça lui plaît d'ètre de de travailler dans une banque et // il continue d'ailleurs à étudier // pour euh obtenir des brevets son brevet professionnel il a déjà eu son certificat de // d'aptitude professionnelle maintenant il travaille pour son brevet professionnel // il a décidé de faire sa carrière là ma foi | #spk4 : hm hm // vous m'avez raconté une journée de votre travail | #spk4 : mais avec qui parlez-vous // au cours de votre travail ? | #spk1 : ah là euh // je parle avec beaucoup de monde // ça c'est difficile à vous expliquer | #spk4 : hm hm,spontané,Valentin
15,#spk4 : et comment ça a com- commencé ? // savez vous ? | #spk1 : comme j'ai commencé à  faire grève ? | #spk4 : hm hm // hm hm | #spk4 spk1 : ah | #spk1 : ça ça ça remonte à  très loin ça,quand quand vous avez fait grève ?,#spk1 : ah eh bien // euh nous avions une réunion // une réunion syndicale euh tous les matins | #spk4 : hm hm | #spk1 : pour avoir les nouvelles de ce qui se passait évidemment euh dans les discussions euh avec le gouvernement | #spk4 : et vous avez obtenu satisfaction ? | #spk1 : oui quand mème pour cette fois-là // pas pas entièrement mais // y'a toujours des promesses en suspens,spontané,Martin
16,#spk1 : ben quand y'a des discussions euh // à  avoir avec dans les commissions par exemple | #spk4 : hm hm // et qu'est-ce qu'il faut faire comme représentant ? | #spk1 : bien lorsqu'y a // ça dépend euh // lorsqu'y a des euh une commission d'avancement par exemple euh // euh si // si y'a euh // un un cas flagrant oà¹ // oà¹ // oà¹ un // un collègue par exemple est // est injustement // mal noté // alors à  ce moment-là  on intervient en sa faveur | #spk4 : hm hm | #spk1 : ben une sorte de // c'est pas un tribunal si vous voulez mais enfin c'est c'est // c'est la défense quoi en somme des,beaucoup de cas comme ça ?,#spk1 : ah non // non en général euh y'a très peu de réclamations alors // en général y'a pas | #spk4 : hm hm // alors // on je vais changer le la les questions maintenant | #spk4 : | #spk4 : un étranger veut venir en France pour apprendre le français // dans quelle région est-ce qu'il doit aller d'après vous ? | #spk1 : ben ça dépend quel étranger aussi,spontané,Martin
17,#spk4 : lesquels par exemple ? | #spk1 : oh hein euh // la Bretagne par exemple l'Alsace | #spk4 : hm hm | #spk1 : l'Alsace // le // euh la Catalogne aussi // la Catalogne // enfin partout oà¹ y'a un patois quoi | #spk4 : un patois oui // et pour bien apprendre le français quelles gens devrait-il fréquenter ?,quelles ?,#spk4 : gens | #spk1 : moi je crois que // oh la classe moyenne quoi | #spk4 : hm hm // pourquoi ? | #spk1 : ben parce que vous avez // euh // vous avez // en principe on apprend // euh comment // vous a- vous apprenez le français c'est littéraire | #spk4 : hm hm,spontané,Martin
18,#spk1 : à  mon avis je pense que euh je pense que c'est ça je pense que c'est ça | #spk4 : hm hm | #spk4 : et est-ce qu'on parle bien à  Orléans ? | #spk1 : en principe on parle pas mal français oui mais // euh comme partout ils ont des expressions euh typiquement orléanaises | #spk4 : hm hm // euh lesquelles par exemple ?,c'est quoi donc ça ?,#spk4 : hm hm | #spk1 : qu'est-ce on a y'en a bien des autres mais enfin ça me vient pas à l'idée hein ? | #spk3 : ben dis donc dis donc | #spk1 : ben dis donc dis donc ouais enfin ça | #spk1 spk3 : c'est // oui enfin c'est oui,spontané,Martin
19,#spk1 : à  mon avis je pense que euh je pense que c'est ça je pense que c'est ça | #spk4 : hm hm | #spk4 : et est-ce qu'on parle bien à  Orléans ? | #spk1 : en principe on parle pas mal français oui mais // euh comme partout ils ont des expressions euh typiquement orléanaises | #spk4 : hm hm // euh lesquelles par exemple ?,c'est quoi donc ça ?,#spk4 : hm hm | #spk1 : qu'est-ce on a y'en a bien des autres mais enfin ça me vient pas à l'idée hein ? | #spk3 : ben dis donc dis donc | #spk1 : ben dis donc dis donc ouais enfin ça | #spk1 spk3 : c'est // oui enfin c'est oui,spontané,Martin
20,#spk4 : et est-ce qu'on parle bien à  Orléans ? | #spk1 : en principe on parle pas mal français oui mais // euh comme partout ils ont des expressions euh typiquement orléanaises | #spk4 : hm hm // euh lesquelles par exemple ? | #spk1 : c'est quoi donc ça ? // c'est quoi donc ça ? | #spk4 : hm hm,qu'est-ce on a y'en a bien des autres mais enfin ça me vient pas à  l'idée hein ?,#spk3 : ben dis donc dis donc | #spk1 : ben dis donc dis donc ouais enfin ça | #spk1 spk3 : c'est // oui enfin c'est oui | #spk3 : | #spk1 : oui y'a pas mal d'expressions comme ça qu'on avait pas l'habitude d'entendre et puis maintenant c'est // c'est fi- c'est familier maintenant,spontané,Martin
21,#spk4 : alors quelqu'un est de passage à  Orléans // il vous demande ce qu'il pourrait faire pendant son séjour // qu'est-ce que vous lui conseillez de faire ? | #spk1 : eh bien euh je l'enverrais au syndicat d'initiative // y'a pas de doute parce qu'il il existe un syndicat d'initiative // on peut très bien le renseigner là  | #spk4 : hm hm // et | #spk1 : ah maintenant ça dépend euh qui est-ce si c'est un un vacancier si c'est un // un étudiant si c'est un étudiant on l'envoie à  l'université hein au au bureau universitaire | #spk4 : mais s'il est de passage à  un temps oà¹ euh le syndicat d'initiative est fermé // il vous demande ce qu'il peut faire // à  Orléans,ça dépend de ce qu'il veut faire aussi hein ? ,#spk4 : hm hm | #spk1 : qu'on puisse se comprendre // à c- ce moment-là ça dépend de ce qu'il veut faire si si il veut aller se promener si si il veut aller aux spectacles euh // peut toujours // peut toujours renseigner | #spk4 : hm hm | #spk1 : alors euh pour les questions de promenade // ben // c'est facile ça // c'est pas ça qui manque dans la région | #spk4 : hm hm // mais est-ce qu'il y a quelque chose dans la région ou // surtout à Orléans que vous // pouvez recommander ?,spontané,Martin
22,#spk1 : ça dépend de ce qu'il veut faire aussi hein ? // ça // on peut toujours poser la question demander à  condition qu'il parle le euh f- qu'on parle euh qu'on puisse s'entendre hein ? | #spk4 : hm hm | #spk1 : qu'on puisse se comprendre // à  c- ce moment-là  ça dépend de ce qu'il veut faire si si il veut aller se promener si si il veut aller aux spectacles euh // peut toujours // peut toujours renseigner | #spk4 : hm hm | #spk1 : alors euh pour les questions de promenade // ben //  c'est facile ça // c'est pas ça qui manque dans la région,pouvez recommander ?,#spk1 : oui enfin ça ça dépend des goûts des personnes aussi hein vous avez des des personnes qui // qui aiment euh qui aiment les paysages d'autres qui aiment les musées d'autres qui aiment euh // qui aiment visiter // les monuments | #spk4 : hm hm | #spk1 : alors à ce moment-là on peut // on peut toujours euh indiquer un itinéraire | #spk4 : hm hm | #spk1 : ça ça dépend euh ce que la personne veut voir veut voir si on veut // si on arrive à se comprendre euh // un Anglais qui parle le français qui me demanderait par exemple euh // euh // il est là pour quelques jours à Orléans euh // je lui dirais quand mème bien ce qu'il préfère voir,spontané,Martin
23,#spk4 : hm hm | #spk1 : à  ce moment là  je peux lui expliquer je peux toujours lui dire // quand mème depuis neuf ans que je suis là  je commence à  connaître la ville | #spk4 spk1 :  | #spk4 : c'est ça oui | #spk4 : alors quelqu'un frappe à  la porte de cette pièce // qu'est-ce que vous lui dites ?,quelqu'un n'importe qui ?,#spk4 : n'importe qui | #spk1 : oh euh je // j'ouvre la porte et puis // je lui demande vous désirez monsieur ou vous dé- // vous désirez madame | #spk4 : hm hm | #spk4 : et vous invitez quelqu'un à prendre quelque chose à la maison // qu'est-ce que vous lui dites pour l'inviter ? | #spk1 : j'ai pas tellement bien compris votre question là,spontané,Martin
24,#spk1 spk4 : faire une // ah c'est pourquoi je vous pose la question | #spk4 :  | #spk1 : elle allait en faire une // justement c'est ce qu'on va manger ce soir | #spk4 : ah | #spk1 spk4 : bon alors,vous riez ?,#spk1 : alors euh hm moi je moi je suis pas très fort en cuisine | #spk4 : non | #spk1 : mais enfin je sais quand mème faire une omelette | #spk4 : hm | #spk3 : on la peut la préparer de plusieurs façons,spontané,Martin
25,#spk1 : j'ai un dictionnaire français oui | #spk4 : lequel ? | #spk1 : Larousse | #spk4 : euh // en combien de volumes ? | #spk1 : oh un seul,k4 : c'est le petit Larousse ?,#spk1 : le petit Larousse | #spk4 : le petit Larousse // où gardez-vous ce dictionnaire ? | #spk1 : dans dans le secrétaire dans une armoire secrétaire | #spk4 : hm hm | #spk1 : avec euh avec les autres euh livres d'ailleurs de lecture,spontané,Xingyu
26,#spk1 : Larousse | #spk4 : euh // en combien de volumes ? | #spk1 : oh un seul | #spk1 spk4 : c'est le // c'est le petit Larousse ? | #spk1 : le petit Larousse,oà¹ gardez-vous ce dictionnaire ?,#spk1 : dans dans le secrétaire dans une armoire secrétaire | #spk4 : hm hm | #spk1 : avec euh avec les autres euh livres d'ailleurs de lecture | #spk4 : et vous vous l'avez depuis quand ? | #spk1 : oh ben j'en ai toujours eu un à Nancy je comme j'étais à Nancy j'en avais un mais je l'ai laissé là -bas j'en ai racheté un autre arrivé ici j'en ai toujours eu un,spontané,Xingyu
27,#spk1 : le petit Larousse | #spk4 : le petit Larousse // oà¹ gardez-vous ce dictionnaire ? | #spk1 : dans dans le secrétaire dans une armoire secrétaire | #spk4 : hm hm | #spk1 : avec euh avec les autres euh livres d'ailleurs de lecture,et vous vous l'avez depuis quand ?,#spk1 : oh ben j'en ai toujours eu un à Nancy je comme j'étais à Nancy j'en avais un mais je l'ai laissé là -bas j'en ai racheté un autre arrivé ici j'en ai toujours eu un | #spk4 : hm hm // et vous l'avez acheté toujours ? | #spk1 : celui-là oui m'enfin l'autre venait de mon père | #spk4 : ah c'est que c'était comme héritage | #spk1 : oui oui // en en deux volumes alors deux gros volumes,spontané,Xingyu
28,#spk1 : dans dans le secrétaire dans une armoire secrétaire | #spk4 : hm hm | #spk1 : avec euh avec les autres euh livres d'ailleurs de lecture | #spk4 : et vous vous l'avez depuis quand ? | #spk1 : oh ben j'en ai toujours eu un à  Nancy je comme j'étais à  Nancy j'en avais un mais je l'ai laissé là -bas j'en ai racheté un autre arrivé ici j'en ai toujours eu un,et vous l'avez acheté toujours ?,#spk1 : celui-là oui m'enfin l'autre venait de mon père | #spk4 : ah c'est que c'était comme héritage | #spk1 : oui oui // en en deux volumes alors deux gros volumes | #spk4 : ah | #spk1 : je les ai je les ai laissés aux enfants d'ailleurs,spontané,Xingyu
29,#spk1 : celui-là  oui m'enfin l'autre venait de mon père | #spk4 : ah c'est que c'était comme héritage | #spk1 : oui oui // en en deux volumes alors deux gros volumes | #spk4 : ah | #spk1 : je les ai je les ai laissés aux enfants d'ailleurs,et qui en s'en sert le plus souvent ?,#spk1 : bah ça dépend ce qu'on fait euh | #spk3 : quelquefois j'en ai besoin | #spk1 : oui euh oh savez // autant l'un que l'autre vous savez | #spk3 : oui | #spk4 : et // est-ce que vous pouvez dire combien de fois disons par semaine ou par mois vous // vous vous en servez ?,spontané,Xingyu
30,#spk4 : hm hm // et qui en s'en sert le plus souvent ? | #spk1 : bah ça dépend ce qu'on fait euh | #spk3 : quelquefois j'en ai besoin  | #spk1 : oui euh oh savez // autant l'un que l'autre vous savez | #spk3 : oui,vous vous en servez ?,#spk1 : deux ou trois fois par mois pas plus hein ? | #spk1 spk4 : hm hm | #spk4 : et quand l'avez-vous regardé pour la der- dernière fois ? | #spk1 : la dernière fois c'est pas vieux tiens c'est la semaine dernière | #spk4 : et pour // quoi ?,spontané,Xingyu
31,#spk1 : oui euh oh savez // autant l'un que l'autre vous savez | #spk3 : oui | #spk4 : et // est-ce que vous pouvez dire combien de fois disons par semaine ou par mois vous // vous vous en servez ? | #spk1 : deux ou trois fois par mois pas plus hein ? | #spk1 spk4 : hm hm,et quand l'avez-vous regardé pour la der- dernière fois ?,#spk1 : la dernière fois c'est pas vieux tiens c'est la semaine dernière | #spk4 : et pour // quoi ? | #spk1 : ah je euh // c'était pour euh retrouver un mot // avoir la définition d'un mot que j'avais entendu et que je ne connaissais pas | #spk4 : hm hm // et // quel genre de chose y cherchez-vous le plus souvent l'orthographe ou le sens ou // quoi ? | #spk1 : l'orthographe assez assez rarement parce que je suis assez fort en orthographe,spontané,Xingyu
32,#spk1 spk4 : hm hm | #spk1 : euh s- si ça m'arrive quand mème // mais enfin c'est plutôt le sens | #spk4 : le sens | #spk1 : le plutôt le sens oui | #spk4 : bon // bon // merci,et possédez-vous un livre euh sur euh mm l'art de parler ou l'art d'écrire ou les difficultés de la langue française ?,#spk1 : non | #spk4 : non // guide de politesse ou de savoir-faire ? | #spk1 : non plus | #spk4 : hm | #spk4 : le journal que vous lisez habituellement,spontané,Xingyu
33,#spk4 : le sens | #spk1 : le plutôt le sens oui | #spk4 : bon // bon // merci | #spk4 : et possédez-vous un livre euh sur euh mm l'art de parler ou l'art d'écrire ou les difficultés de la langue française ? | #spk1 : non,guide de politesse ou de savoir-faire ?,#spk1 : non plus | #spk4 : hm | #spk4 : le journal que vous lisez habituellement | #spk1 spk4 : contient-il une rubrique sur le langage ? | #spk1 : non je pense pas non non non c'est le quotidien lorrain d'ailleurs que je reçois je suis abonné,spontané,Xingyu
34,#spk1 spk4 : contient-il une rubrique sur le langage ? | #spk1 : non je pense pas non non non c'est le quotidien lorrain d'ailleurs que je reçois je suis abonné | #spk4 : hm hm | #spk4 : et faites-vous des mots croisés ? | #spk1 : ah non,pourquoi ?,#spk1 : ben euh ça ne m'a jamais passionné | #spk4 : hm hm | #spk1 : mon père aimait ça lui il en faisait toute la journée mais | #spk4 : hm hm | #spk1 :,spontané,Xingyu
35,#spk4 : hm hm | #spk1 : mon père aimait ça lui il en faisait toute la journée mais | #spk4 : hm hm | #spk1 :  | #spk1 spk4 : et que pensez-vous du franglais ?,les mots anglais introduits dans la langue française ?,#spk4 : hm hm | #spk1 : bah vous savez // on a tellement l'habitude maintenant que // on y fait pas attention hein ? | #spk4 : alors vous n'ètes vous ètes pour ou contre ? | #spk1 : oh vous savez moi je suis pas contre euh | #spk4 : hm hm // et vous vous acceptez ces mots comme,spontané,Xingyu
36,#spk1 : ben euh y'a y'a bien des mots anglais on a l'habitude de on sait ce que c'est quoi le le goal le // enfin tout des choses comme ça | #spk4 : hm hm // et les les autres mots à  part des sports | #spk1 : à  part les sports // ben y'a des y'a certains mots on se demande ce que c'est quoi euh mais on fint par s'y habituer quoi | #spk4 : hm hm | #spk1 :  ,appartenant à  des milieux sociaux différents ?,#spk1 : oui maintenant | #spk4 : ces différences sont-elles très importantes ou // très grandes ou grandes ? | #spk1 : non // non // mais on // on reconnaît quand mème quelqu'un qui est // qui a une certaine culture | #spk4 : hm hm // comment cela ? | #spk1 : oh par le // euh par le vocabulaire qui est // euh qui est beaucoup plus complet hein ça c'est normal,spontané,Xingyu
37,#spk1 : à  part les sports // ben y'a des y'a certains mots on se demande ce que c'est quoi euh mais on fint par s'y habituer quoi | #spk4 : hm hm | #spk1 :  | #spk4 : y a-t-il des différence selon vous dans la façon de parler français // entre les gens // appartenant à  des milieux sociaux différents ? | #spk1 : oui maintenant,très grandes ou grandes ?,#spk1 : non // non // mais on // on reconnaît quand mème quelqu'un qui est // qui a une certaine culture | #spk4 : hm hm // comment cela ? | #spk1 : oh par le // euh par le vocabulaire qui est // euh qui est beaucoup plus complet hein ça c'est normal | #spk4 : hm hm // d'un vocabulaire | #spk1 : il possède beaucoup plus de // de mots quoi,spontané,Xingyu
38,#spk1 :  | #spk4 : y a-t-il des différence selon vous dans la façon de parler français // entre les gens // appartenant à  des milieux sociaux différents ? | #spk1 : oui maintenant | #spk4 : ces différences sont-elles très importantes ou // très grandes ou grandes ? | #spk1 : non // non // mais on // on reconnaît quand mème quelqu'un qui est // qui a une certaine culture,comment cela ?,#spk1 : oh par le // euh par le vocabulaire qui est // euh qui est beaucoup plus complet hein ça c'est normal | #spk4 : hm hm // d'un vocabulaire | #spk1 : il possède beaucoup plus de // de mots quoi | #spk4 : hm hm | #spk4 : et selon vous les gens parlent-ils de mieux en mieux ou de plus en plus mal ?,spontané,Xingyu
39,#spk1 : il possède beaucoup plus de // de mots quoi | #spk4 : hm hm | #spk4 : et selon vous les gens parlent-ils de mieux en mieux ou de plus en plus mal ? | #spk1 : je vois pas la différence vous savez  | #spk4 : sans changement // et,euh c'est-à -dire quelle profession ?,#spk1 : on en revient on en revient à l'histoire de // euh des gens cultivés ou pas hein ? // euh je j'ai notre receveur principal par exemple euh il // parle très bien euh et puis // ainsi de suite quoi euh | #spk4 : hm hm | #spk1 : tu sais tout ça ça dépend de l'instruction qu'on a eue | #spk4 : et vous euh | #spk1 : c'est difficile à définir ça,spontané,Xingyu
40,#spk1 : oui parce que euh j'estime que euh ces gens-là  euh // normalement devraient // devraient parler un français pur quoi // c'est quand mème le // surtout dans le dans l'information | #spk4 : et comment devrait-on exercer ce contrôle ? | #spk1 : moi je vois pas euh // si évidemment y'a // y'aurait des tests // par des tests quoi euh // devant devant des groupes de de professeurs euh de français quoi | #spk4 : hm hm | #spk4 : et aujourd'hui // à  votre avis // l'orthographe et la correction de la langue // sont-ils enseignés aussi bien // ou // mieux ou moins bien que du temps ou vous étiez vous-mème à ,k1 : l'école ?,#spk1 : nettement | #spk4 : c'est-à -dire l'orthographe et la correction non ? | #spk1 : euh la correction le l'orthographe et la correction de l'orthographe ? | #spk4 : le la correction de | #spk4 spk1 : de langue de français oui // de de français de la langue de,spontané,Xingyu
