,previous_5_turn,question,next_5_turn,categorie
0,#spk4 : monsieur,depuis combien de temps habitez-vous Orléans ?,#spk1 : oh ça fait neuf ans depuis dix neuf cent soixante | #spk4 : vous vous plaisez à Orléans ? | #spk1 : oui et non | #spk4 : pourquoi ça ? | #spk1 : bah parce que // j'ai // j'ai toujours euh // je suis Lorrain // alors j'ai // je suis né en Lorraine et puis j'ai toujours été en Lorraine // et je préfère la Lorraine à l'Orléanais,préparé
1,#spk4 : monsieur | #spk4 : depuis combien de temps habitez-vous Orléans ? | #spk1 : oh ça fait neuf ans depuis dix neuf cent soixante,vous vous plaisez à  Orléans ?,#spk4 : pourquoi ça ? | #spk1 : bah parce que // j'ai // j'ai toujours euh // je suis Lorrain // alors j'ai // je suis né en Lorraine et puis j'ai toujours été en Lorraine // et je préfère la Lorraine à l'Orléanais | #spk4 : et est-ce que vous comptez rester à Orléans ? | #spk1 : oh je suis obligé par ma profession | #spk4 : Hm,préparé
2,#spk4 : monsieur | #spk4 : depuis combien de temps habitez-vous Orléans ? | #spk1 : oh ça fait neuf ans depuis dix neuf cent soixante | #spk4 : vous vous plaisez à  Orléans ? | #spk1 : oui et non,pourquoi ça ?,#spk1 : bah parce que // j'ai // j'ai toujours euh // je suis Lorrain // alors j'ai // je suis né en Lorraine et puis j'ai toujours été en Lorraine // et je préfère la Lorraine à l'Orléanais | #spk4 : et est-ce que vous comptez rester à Orléans ? | #spk1 : oh je suis obligé par ma profession | #spk4 : hm | #spk4 :,spontané
27,#spk1 : ce qu'on devrait apprendre surtout aux enfants à  l'école ? | #spk4 : hm hm | #spk1 : ben moi je vois l'en- l'enseignement tel qu'on l'a tel qu'on l'a eu nous-mèmes l'enseignement primaire était très bien // enfin moi je suis en primaire évidemment je j'étais pas au lycée je j'ai // continué à  à  l'école primaire supérieure | #spk4 : hm hm | #spk1 : mais // ce qui serait intéressant c'est que justement // on puisse euh // les enfants puissent apprendre de très bonne heure // euh très jeunes // une ou deux langues étrangères une au moins,et pourquoi ?,#spk1 : eh bien // c'est très utile dans la vie // je m'en suis rendu compte puisque j'ai fait la guerre euh // dans les Forces Françaises Libres | #spk4 : hm hm | #spk1 : et j'ai eu l'occasion justement de côtoyer les Américains les Anglais // et heureusement j'avais appris l'allemand à l'école primaire supérieure et je me suis pas mal débrouillé en Allemagne lorsque évidemment // nous sommes euh // nous les avons reconduits | #spk4 spk1 : | #spk4 :,préparé
28,#spk1 : eh bien // c'est très utile dans la vie // je m'en suis rendu compte puisque j'ai fait la guerre euh // dans les Forces Françaises Libres | #spk4 : hm hm | #spk1 : et j'ai eu l'occasion justement de côtoyer les Américains les Anglais // et heureusement j'avais appris l'allemand à  l'école primaire supérieure et je me suis pas mal débrouillé en Allemagne lorsque évidemment // nous sommes euh // nous les avons reconduits | #spk4 spk1 :  | #spk4 :  ,et qu'est-ce que vous pensez du latin à  l'école ?,#spk1 : ah ça c'est un peu puissant pour moi ça euh // naturel- le latin a évidemment euh // ce ça serait pas mal parce que c'est quand mème le la base de // c'est tout de mème la euh // la base de la langue française quoi du // c'est vrai | #spk4 : hm hm | #spk4 : et dans quelle matière est-il bon qu'un enfant soit fort ? | #spk1 : ben maintenant moi à mon avis je pense que // euh ce serait // pour l'avenir je pense pour les les enfants de maintenant ce serait plutôt les mathématiques plus qu'ils se dirigent vers la science c'est là quand mème le meilleur débouché | #spk4 : hm hm,préparé
29,#spk4 spk1 :  | #spk4 :  | #spk4 : et qu'est-ce que vous pensez du latin à  l'école ? | #spk1 : ah ça c'est un peu puissant pour moi ça euh // naturel- le latin a évidemment euh // ce ça serait pas mal parce que c'est quand mème le la base de // c'est tout de mème la euh // la base de la langue française quoi du // c'est vrai | #spk4 : hm hm,et dans quelle matière est-il bon qu'un enfant soit fort ?,#spk1 : ben maintenant moi à mon avis je pense que // euh ce serait // pour l'avenir je pense pour les les enfants de maintenant ce serait plutôt les mathématiques plus qu'ils se dirigent vers la science c'est là quand mème le meilleur débouché | #spk4 : hm hm | #spk1 : à mon avis | #spk4 : hm | #spk1 : avant évidemment euh // c'est plus du tout la mème vie hein euh,préparé
30,#spk4 : hm | #spk1 : avant évidemment euh // c'est plus du tout la mème vie hein euh | #spk4 :  | #spk1 : toutes les matières étaient bonnes mais bon // français euh géographie langue étrangère ou // tout ça était bon mais maintenant pour l'avenir quand mème pour les enfants je crois que euh les mathématiques la science le // c'est quand mème des débouchés plus sérieux | #spk4 : hm hm,et qu'est-ce qui fait que les enfants réussissent ou ne réussissent pas à  l'école ?,#spk1 : oh ça // vous savez euh j'ai deux enfants hein j'en ai un qui a pas voulu continuer et puis l'autre qui continue | #spk4 spk1 : ça ça | #spk1 : ça // c'est // c'est difficile à définir ça | #spk4 : hm hm | #spk1 : et puis y'a une question // il faut qu'ils soient doués ou pas,préparé
31,#spk4 spk1 : ça ça | #spk1 : ça // c'est // c'est difficile à  définir ça | #spk4 : hm hm | #spk1 : et puis y'a une question // il faut qu'ils soient doués ou pas | #spk4 : hm hm,continuent leurs études ?,#spk1 : ben je crois que ben le plus longtemps possible | #spk4 : hm | #spk4 : est-ce que la mème chose pour les garçons et les filles ? | #spk1 : oui // y'a pas de raison | #spk4 : et pourquoi est-ce que vous dites le plus longtemps possible ?,préparé
32,#spk1 : et puis y'a une question // il faut qu'ils soient doués ou pas | #spk4 : hm hm | #spk4 : et jusqu'à  quel âge est-ce qu'il faudrait que les enfants // continuent leurs études ? | #spk1 : ben je crois que ben le plus longtemps possible | #spk4 : hm,est-ce que la mème chose pour les garçons et les filles ?,#spk1 : oui // y'a pas de raison | #spk4 : et pourquoi est-ce que vous dites le plus longtemps possible ? | #spk1 : ben le plus longtemps possible pour euh essayer d'obtenir la meilleure situation possible bien entendu | #spk1 : | #spk4 : et pour revenir euh à la ville d'Orléans // est-ce que d'après vous // on fait assez pour les habitants ? // à Orléans ?,préparé
33,#spk4 : et jusqu'à  quel âge est-ce qu'il faudrait que les enfants // continuent leurs études ? | #spk1 : ben je crois que ben le plus longtemps possible | #spk4 : hm | #spk4 : est-ce que la mème chose pour les garçons et les filles ? | #spk1 : oui // y'a pas de raison,et pourquoi est-ce que vous dites le plus longtemps possible ?,#spk1 : ben le plus longtemps possible pour euh essayer d'obtenir la meilleure situation possible bien entendu | #spk1 : | #spk4 : et pour revenir euh à la ville d'Orléans // est-ce que d'après vous // on fait assez pour les habitants ? // à Orléans ? | #spk1 : ben en quel sens ? | #spk4 : bon // c'est-à -dire euh on on dit // bon est-ce qu'on fait assez pour les les habitants ? // peut-ètre la municipalité ou les autorités // n'importe qui,spontané
34,#spk4 : est-ce que la mème chose pour les garçons et les filles ? | #spk1 : oui // y'a pas de raison | #spk4 : et pourquoi est-ce que vous dites le plus longtemps possible ? | #spk1 : ben le plus longtemps possible pour euh essayer d'obtenir la meilleure situation possible bien entendu | #spk1 :  ,on fait assez pour les habitants ?,#spk1 : ben en quel sens ? | #spk4 : bon // c'est-à -dire euh on on dit // bon est-ce qu'on fait assez pour les les habitants ? // peut-ètre la municipalité ou les autorités // n'importe qui | #spk1 : oh vous savez y'a pas à se plaindre c'est pas // y'a bien des détails comme euh un trottoir qui est démoli et qui est pas refait ou des des bricoles comme ça qui sont vous savez ça se passe partout ça dans toutes les villes hein | #spk4 : hm hm // alors j'ai une question que je vais vous poser // c'est de parler des événements de mai dernier | #spk1 : oui,préparé
35,#spk4 : est-ce que la mème chose pour les garçons et les filles ? | #spk1 : oui // y'a pas de raison | #spk4 : et pourquoi est-ce que vous dites le plus longtemps possible ? | #spk1 : ben le plus longtemps possible pour euh essayer d'obtenir la meilleure situation possible bien entendu | #spk1 :  ,à  Orléans ?,#spk1 : ben en quel sens ? | #spk4 : bon // c'est-à -dire euh on on dit // bon est-ce qu'on fait assez pour les les habitants ? // peut-ètre la municipalité ou les autorités // n'importe qui | #spk1 : oh vous savez y'a pas à se plaindre c'est pas // y'a bien des détails comme euh un trottoir qui est démoli et qui est pas refait ou des des bricoles comme ça qui sont vous savez ça se passe partout ça dans toutes les villes hein | #spk4 : hm hm // alors j'ai une question que je vais vous poser // c'est de parler des événements de mai dernier | #spk1 : oui,préparé
36,#spk1 : oui // y'a pas de raison | #spk4 : et pourquoi est-ce que vous dites le plus longtemps possible ? | #spk1 : ben le plus longtemps possible pour euh essayer d'obtenir la meilleure situation possible bien entendu | #spk1 :  | #spk4 : et pour revenir euh à  la ville d'Orléans // est-ce que d'après vous // on fait assez pour les habitants ? // à  Orléans ?,ben en quel sens ?,#spk4 : bon // c'est-à -dire euh on on dit // bon est-ce qu'on fait assez pour les les habitants ? // peut-ètre la municipalité ou les autorités // n'importe qui | #spk1 : oh vous savez y'a pas à se plaindre c'est pas // y'a bien des détails comme euh un trottoir qui est démoli et qui est pas refait ou des des bricoles comme ça qui sont vous savez ça se passe partout ça dans toutes les villes hein | #spk4 : hm hm // alors j'ai une question que je vais vous poser // c'est de parler des événements de mai dernier | #spk1 : oui | #spk4 : moi // je n'étais pas en France à l'époque,spontané
